X,Y,Latitude,Longitude,dT,z
3406533.81,509093.11,30.7795174,114.0949936,0.709744989,-85
3406532.51,509092.35,30.7795057,114.0949857,0.698204212,-85
3406531.21,509091.59,30.779494,114.0949777,0.686541506,-85
3406529.92,509090.83,30.7794824,114.0949698,0.674761169,-85
3406528.64,509090.08,30.7794708,114.0949619,0.662461462,-85
3406527.34,509089.3,30.7794591,114.0949538,0.649972861,-85
3406526.05,509088.54,30.7794475,114.0949458,0.6372636,-85
3406524.75,509087.78,30.7794358,114.0949379,0.624253944,-85
3406523.46,509087.02,30.7794241,114.0949299,0.611231576,-85
3406522.16,509086.26,30.7794124,114.094922,0.597657005,-85
3406520.86,509085.5,30.7794007,114.094914,0.583576867,-85
3406519.56,509084.73,30.779389,114.094906,0.569072329,-85
3406516.98,509083.21,30.7793657,114.0948901,0.539760606,-85
3406515.68,509082.46,30.779354,114.0948822,0.524860609,-85
3406514.39,509081.68,30.7793424,114.0948741,0.510413399,-85
3406513.11,509080.91,30.7793308,114.094866,0.496182773,-85
3406511.81,509080.13,30.7793191,114.0948579,0.48181368,-85
3406510.52,509079.37,30.7793075,114.0948499,0.467620071,-85
3406509.23,509078.6,30.7792958,114.0948419,0.453890729,-85
3406507.94,509077.83,30.7792842,114.0948338,0.44029534,-85
3406506.65,509077.06,30.7792726,114.0948257,0.426783231,-85
3406505.37,509076.29,30.779261,114.0948177,0.413826581,-85
3406504.08,509075.52,30.7792494,114.0948096,0.4012387,-85
3406502.78,509074.75,30.7792377,114.0948016,0.388996328,-85
3406501.49,509074.0,30.7792261,114.0947937,0.377030683,-85
3406500.2,509073.23,30.7792144,114.0947857,0.365389529,-85
3406498.9,509072.48,30.7792027,114.0947778,0.353332954,-85
3406497.6,509071.71,30.779191,114.0947698,0.341409333,-85
3406496.3,509070.96,30.7791793,114.0947619,0.329352288,-85
3406495.01,509070.2,30.7791676,114.094754,0.317701969,-85
3406493.72,509069.44,30.779156,114.094746,0.305985776,-85
3406492.41,509068.68,30.7791442,114.0947381,0.293703517,-85
3406491.11,509067.93,30.7791325,114.0947302,0.281098795,-85
3406489.81,509067.17,30.7791208,114.0947223,0.268064291,-85
3406488.51,509066.42,30.779109,114.0947144,0.254479066,-85
3406487.2,509065.65,30.7790972,114.0947064,0.240206746,-85
3406485.9,509064.9,30.7790855,114.0946985,0.225050473,-85
3406484.6,509064.14,30.7790738,114.0946906,0.209018487,-85
3406483.29,509063.38,30.779062,114.0946826,0.191813937,-85
3406481.99,509062.61,30.7790503,114.0946746,0.174157069,-85
3406479.4,509061.1,30.7790269,114.0946588,0.13546146,-85
