X,Y,Latitude,Longitude,z,dT
3406488.51,509066.42,30.779109,114.0947144,-85,0.254479066
3406487.2,509065.65,30.7790972,114.0947064,-85,0.240206746
3406485.9,509064.9,30.7790855,114.0946985,-85,0.225050473
3406484.6,509064.14,30.7790738,114.0946906,-85,0.209018487
3406483.29,509063.38,30.779062,114.0946826,-85,0.191813937
3406481.99,509062.61,30.7790503,114.0946746,-85,0.174157069
3406480.7,509061.86,30.7790386,114.0946667,-85,0.15548892
3406479.4,509061.1,30.7790269,114.0946588,-85,0.13546146
3406478.11,509060.35,30.7790153,114.0946509,-85,0.114497067
3406476.81,509059.58,30.7790036,114.0946429,-85,0.092148848
3406475.52,509058.82,30.7789919,114.0946349,-85,0.068504848
3406474.22,509058.05,30.7789802,114.0946269,-85,0.043045308
3406472.92,509057.29,30.7789685,114.0946189,-85,0.015713429
3406471.62,509056.53,30.7789568,114.094611,-85,-0.013282787
3406470.33,509055.77,30.7789451,114.094603,-85,-0.043790524
3406469.04,509055.01,30.7789335,114.0945951,-85,-0.075014892
3406467.73,509054.26,30.7789217,114.0945872,-85,-0.107863134
3406466.43,509053.49,30.77891,114.0945792,-85,-0.142418826
3406465.15,509052.73,30.7788984,114.0945712,-85,-0.177486288
3406463.85,509051.96,30.7788867,114.0945632,-85,-0.214091753
3406462.55,509051.2,30.778875,114.0945552,-85,-0.251797311
3406461.24,509050.44,30.7788632,114.0945472,-85,-0.290942826
3406459.94,509049.67,30.7788515,114.0945392,-85,-0.331776169
3406458.65,509048.92,30.7788398,114.0945313,-85,-0.373238087
3406457.34,509048.15,30.778828,114.0945233,-85,-0.416093591
3406456.05,509047.39,30.7788164,114.0945153,-85,-0.457867037
3406454.75,509046.62,30.7788047,114.0945073,-85,-0.500129762
3406453.45,509045.87,30.778793,114.0944994,-85,-0.54229526
3406452.16,509045.09,30.7787813,114.0944913,-85,-0.585856843
3406450.87,509044.33,30.7787697,114.0944833,-85,-0.629760657
3406449.57,509043.55,30.778758,114.0944752,-85,-0.674418925
3406448.29,509042.79,30.7787464,114.0944672,-85,-0.717796558
3406446.99,509042.02,30.7787347,114.0944592,-85,-0.759949058
3406445.7,509041.27,30.7787231,114.0944513,-85,-0.80057787
3406444.4,509040.51,30.7787114,114.0944434,-85,-0.841171164
3406443.11,509039.75,30.7786997,114.0944354,-85,-0.880659571
3406441.81,509038.98,30.778688,114.0944274,-85,-0.920552639
3406440.51,509038.22,30.7786763,114.0944194,-85,-0.957767321
3406439.21,509037.45,30.7786646,114.0944114,-85,-0.994181087
3406437.91,509036.69,30.7786529,114.0944034,-85,-1.027135547
3406436.62,509035.93,30.7786412,114.0943954,-85,-1.057802953
3406435.32,509035.17,30.7786295,114.0943875,-85,-1.086840488
3406434.01,509034.41,30.7786177,114.0943795,-85,-1.112205338
3406432.71,509033.64,30.778606,114.0943715,-85,-1.135311012
3406431.41,509032.89,30.7785943,114.0943636,-85,-1.154542508
3406430.12,509032.13,30.7785826,114.0943557,-85,-1.170671053
3406428.82,509031.37,30.7785709,114.0943477,-85,-1.184732473
3406427.53,509030.6,30.7785593,114.0943397,-85,-1.195413363
3406426.23,509029.84,30.7785476,114.0943317,-85,-1.203761644
3406424.94,509029.08,30.7785359,114.0943238,-85,-1.208928915
3406423.64,509028.32,30.7785242,114.0943158,-85,-1.212173092
3406422.34,509027.55,30.7785125,114.0943078,-85,-1.214264719
3406421.05,509026.79,30.7785009,114.0942998,-85,-1.215141006
3406419.76,509026.02,30.7784892,114.0942918,-85,-1.215571043
3406418.46,509025.26,30.7784775,114.0942838,-85,-1.215106945
3406417.16,509024.5,30.7784658,114.0942759,-85,-1.215665327
3406415.86,509023.74,30.7784541,114.0942679,-85,-1.215867744
3406414.58,509022.98,30.7784425,114.09426,-85,-1.217406759
3406413.28,509022.22,30.7784308,114.094252,-85,-1.220182518
3406411.98,509021.45,30.7784191,114.094244,-85,-1.223551315
3406410.68,509020.7,30.7784074,114.0942361,-85,-1.227868149
3406409.4,509019.93,30.7783958,114.0942281,-85,-1.23417584
3406408.1,509019.18,30.7783841,114.0942202,-85,-1.240053133
3406406.8,509018.42,30.7783724,114.0942123,-85,-1.248099759
3406405.5,509017.66,30.7783607,114.0942043,-85,-1.25646883
3406404.21,509016.89,30.778349,114.0941963,-85,-1.266248092
3406402.91,509016.13,30.7783373,114.0941883,-85,-1.277044088
3406401.62,509015.37,30.7783257,114.0941804,-85,-1.287246028
3406400.32,509014.62,30.778314,114.0941725,-85,-1.297938167
3406399.04,509013.87,30.7783024,114.0941647,-85,-1.308518621
3406397.74,509013.11,30.7782907,114.0941567,-85,-1.319930747
3406396.45,509012.35,30.7782791,114.0941488,-85,-1.331400831
3406395.15,509011.59,30.7782674,114.0941408,-85,-1.342995778
3406393.87,509010.83,30.7782558,114.0941329,-85,-1.355552947
3406392.56,509010.07,30.778244,114.0941249,-85,-1.365814771
3406391.27,509009.31,30.7782324,114.094117,-85,-1.375380943
3406389.99,509008.55,30.7782208,114.094109,-85,-1.386104727
3406388.69,509007.78,30.7782091,114.094101,-85,-1.396117704
3406387.4,509007.02,30.7781975,114.094093,-85,-1.404784808
3406386.1,509006.26,30.7781858,114.0940851,-85,-1.414633601
3406384.81,509005.5,30.7781741,114.0940771,-85,-1.422336482
3406383.51,509004.74,30.7781624,114.0940691,-85,-1.429810659
3406382.22,509003.97,30.7781508,114.0940611,-85,-1.43729827
3406380.92,509003.2,30.7781391,114.094053,-85,-1.443039641
3406379.63,509002.43,30.7781274,114.094045,-85,-1.449813578
3406378.33,509001.67,30.7781157,114.094037,-85,-1.455934397
3406377.03,509000.9,30.778104,114.094029,-85,-1.460665359
3406375.74,509000.14,30.7780924,114.094021,-85,-1.464918803
3406374.45,508999.38,30.7780807,114.0940131,-85,-1.469824734
3406373.15,508998.63,30.778069,114.0940052,-85,-1.472961971
3406371.86,508997.87,30.7780574,114.0939973,-85,-1.477170123
3406370.56,508997.12,30.7780457,114.0939894,-85,-1.480031774
3406369.28,508996.35,30.7780341,114.0939814,-85,-1.485236771
3406367.98,508995.6,30.7780224,114.0939735,-85,-1.487406452
3406366.69,508994.84,30.7780108,114.0939656,-85,-1.488631713
3406365.39,508994.08,30.7779991,114.0939576,-85,-1.491127844
3406364.11,508993.31,30.7779875,114.0939496,-85,-1.493241964
3406362.81,508992.56,30.7779758,114.0939417,-85,-1.493912645
3406361.52,508991.79,30.7779642,114.0939337,-85,-1.496340067
3406360.23,508991.04,30.7779525,114.0939258,-85,-1.496309401
3406358.93,508990.27,30.7779408,114.0939178,-85,-1.497053787
3406357.64,508989.52,30.7779292,114.0939099,-85,-1.49606741
3406356.33,508988.75,30.7779174,114.0939019,-85,-1.496003328
3406355.05,508987.99,30.7779058,114.0938939,-85,-1.495542531
3406353.74,508987.23,30.777894,114.093886,-85,-1.493423283
3406352.44,508986.47,30.7778823,114.093878,-85,-1.493411445
3406351.14,508985.71,30.7778706,114.0938701,-85,-1.492205695
3406349.84,508984.95,30.7778589,114.0938621,-85,-1.490599679
3406348.53,508984.18,30.7778471,114.0938541,-85,-1.490039141
3406347.24,508983.42,30.7778354,114.0938461,-85,-1.488709852
3406345.94,508982.65,30.7778237,114.0938381,-85,-1.488166882
3406344.64,508981.88,30.777812,114.09383,-85,-1.486927107
3406343.33,508981.12,30.7778002,114.093822,-85,-1.485743315
3406342.03,508980.34,30.7777885,114.0938139,-85,-1.486034119
3406340.75,508979.58,30.7777769,114.0938059,-85,-1.48510917
3406339.46,508978.8,30.7777653,114.0937978,-85,-1.486172407
3406338.16,508978.04,30.7777536,114.0937898,-85,-1.486835693
3406336.88,508977.26,30.777742,114.0937817,-85,-1.488302843
3406335.58,508976.49,30.7777303,114.0937736,-85,-1.490065283
3406334.28,508975.71,30.7777186,114.0937655,-85,-1.491963205
3406332.98,508974.95,30.7777069,114.0937575,-85,-1.493975949
3406331.7,508974.18,30.7776953,114.0937495,-85,-1.496673926
3406330.4,508973.42,30.7776836,114.0937415,-85,-1.499781635
